Field_ID,Area_m2,Area_ha,Suitability_Class,Final_Score,Water_Access,Water_Score,Soil_Score,Terrain_Score,Stream_Distance_m,Texture,pH,Tier,Primary_Crop,Secondary_Crop,Kharif_Recommendation,Rabi_Recommendation,Limiting_Factor,Key_Interventions,WKT
375,2389,0.24,Moderately Suitable,2.9,Very High Access,4,3,3,32.2,Clay Loam,8.033333333333333,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37265194317725 26.202974672348095, 66.37271360464602 26.20266227270235, 66.37274012180404 26.202586563126083, 66.37277154282168 26.202511024979444, 66.37282194359062 26.20248058234283, 66.37291121199068 26.20248223077907, 66.37304979144763 26.20250268577776, 66.37312353098913 26.20253530834469, 66.37313215815287 26.202593704134774, 66.37307458318895 26.20272703767307, 66.37302245696488 26.20283808023355, 66.37298095577601 26.20291797701355, 66.37296996749676 26.20296254284804, 66.3729461746945 26.203136837655393, 66.37269380759051 26.20310081672052, 66.37264994530945 26.203064213505805, 66.37263568779855 26.203032571519408, 66.37265194317725 26.202974672348095))"
5,2453,0.25,Marginally Suitable,2.15,Very Low Access,1,3,4,810.9,Clay Loam,8.133333333333333,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Very Low - >500m from stream),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36622665551826 26.21973488777381, 66.36621403277113 26.220075086204048, 66.3662381885321 26.220102339106496, 66.36620340786908 26.220106227223837, 66.36612376651571 26.220113696552303, 66.3659940882588 26.220138263706488, 66.3658592338008 26.220171599071158, 66.36578585845955 26.220120970705963, 66.36575389296736 26.219999432074424, 66.3656916873983 26.21989528763534, 66.36561222773986 26.219893800317514, 66.36549944044977 26.219829043956945, 66.36548164149143 26.21973913065098, 66.36622665551826 26.21973488777381))"
346,2516,0.25,Moderately Suitable,2.75,Moderate Access,3,3,4,207.4,Clay Loam,8.074074074074074,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36564827972063 26.201982000987012, 66.36598873040428 26.202077824092527, 66.36597147629689 26.202184983841292, 66.36585096999332 26.202464950972946, 66.36576288326185 26.202629109267004, 66.36540608673575 26.202595659306954, 66.36564827972063 26.201982000987012))"
4,2531,0.25,Marginally Suitable,1.9999999999999998,Very Low Access,1,3,3,810.9,Clay Loam,8.133333333333333,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Very Low - >500m from stream),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36622665551826 26.21973488777381, 66.36703060704322 26.2197585831038, 66.3670849121805 26.21977300422195, 66.36708427650161 26.21979985777892, 66.36703796275548 26.219875175705056, 66.36696177211086 26.219949890569378, 66.36687132411232 26.21999754295436, 66.36664720202639 26.22002480905069, 66.3664431492977 26.220043430293845, 66.36639274910247 26.22007835641351, 66.3662381885321 26.220102339106496, 66.36621403277113 26.220075086204048, 66.36622665551826 26.21973488777381))"
204,2647,0.26,Moderately Suitable,3.05,Very High Access,4,3,4,7.9,Clay Loam,8.033333333333333,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36832367009627 26.204449805990127, 66.36845825271357 26.20486879932527, 66.36737487264332 26.20491171822354, 66.36736016121002 26.204902468881073, 66.36832367009627 26.204449805990127))"
103,2679,0.27,Marginally Suitable,2.3,Low Access,2,3,3,312.5,Clay Loam,8.233333333333333,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37262869526147 26.212627013040088, 66.37287388817164 26.212546393692712, 66.37297814059701 26.212548354777976, 66.37293373342042 26.21319698213834, 66.37260063430192 26.213213349059664, 66.37255677202815 26.213176660017965, 66.37254387670193 26.212867376916115, 66.37262869526147 26.212627013040088))"
178,2716,0.27,Moderately Suitable,2.9,Very High Access,4,3,3,9.7,Clay Loam,8.166666666666668,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35742213164747 26.206538676127643, 66.35757296657823 26.206456305466588, 66.3576635038802 26.206404260656292, 66.35771399409713 26.20636935043323, 66.35780026336323 26.206285785703987, 66.35783113868278 26.20623712858278, 66.35807269271235 26.20631769049712, 66.35789988167978 26.206713202114376, 66.35788971098485 26.206721952184242, 66.3578694604053 26.206739468068516, 66.35784439690875 26.206752503101185, 66.35780425899273 26.2067696220003, 66.35777429177224 26.206778075621266, 66.35773933001705 26.20678634125646, 66.35770436826407 26.206794691669163, 66.35766913408402 26.20681639188416, 66.35763853120267 26.206851698912057, 66.35724614247822 26.20663847471566, 66.35742213164747 26.206538676127643))"
136,2777,0.28,Moderately Suitable,2.75,High Access,3,3,4,91.5,Clay Loam,8.124242424242425,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36578876441348 26.21095650156113, 66.36583843806574 26.21073795202295, 66.36632246127023 26.210854273524184, 66.3661313038383 26.211401711749545, 66.36576197515129 26.21126508484078, 66.36578876441348 26.21095650156113))"
306,2803,0.28,Moderately Suitable,2.75,Moderate Access,3,3,4,229.1,Clay Loam,8.100000381469727,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35414336630366 26.20485238803193, 66.35418332233736 26.20484414174871, 66.35451359538942 26.204948747497056, 66.35425587886952 26.205584570165506, 66.35392606001615 26.20545757226929, 66.35391688829422 26.205426050210406, 66.35414336630366 26.20485238803193))"
379,2842,0.28,Moderately Suitable,3.1,Moderate Access,3,4,4,175.1,Clay Loam,8.033333333333333,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37147538189902 26.201197307044023, 66.3715155207967 26.20117560135913, 66.3715750026526 26.20118116146126, 66.37168397706145 26.20119216152296, 66.37181283932728 26.201203470651784, 66.3719120060805 26.201209717965597, 66.37197130635434 26.20122423517065, 66.37201044635472 26.201247384779812, 66.37196195271196 26.201640676223054, 66.37194079350208 26.201698488783066, 66.37181619937263 26.20171861660545, 66.37166754008676 26.201702434487668, 66.37152451118368 26.20165949862836, 66.37145567569918 26.20163137180957, 66.37147538189902 26.201197307044023))"
378,2877,0.29,Moderately Suitable,3.1,Moderate Access,3,4,4,171.4,Clay Loam,8.033333333333333,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37207955434354 26.201266569687423, 66.37211061207584 26.201208861206148, 66.37216064953705 26.20119192349356, 66.37220532908877 26.201192713147826, 66.37226490182992 26.201193794259904, 66.37233437309855 26.201195064405777, 66.37237914347624 26.201191375337558, 66.37242373223322 26.201196728362554, 66.3724631447016 26.201210851491204, 66.3724975625046 26.201224957016535, 66.37253670254171 26.2012525161043, 66.3725509600501 26.20127966375848, 66.37247921845103 26.20182029506608, 66.37228152044635 26.2017808597843, 66.37216818694085 26.201742986218186, 66.37210934070666 26.20171057014441, 66.37206066543116 26.20166482245108, 66.3720524015322 26.20159309137379, 66.37205458102203 26.201494507937035, 66.37205676051185 26.201396009262805, 66.37207955434354 26.201266569687423))"
152,2928,0.29,Moderately Suitable,3.05,Very High Access,4,3,4,9.6,Clay Loam,8.166666666666668,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35564580595475 26.20736149419402, 66.35579645878546 26.2072836747619, 66.35627357175645 26.207485060726587, 66.35597689716016 26.207869251239455, 66.3554952439742 26.20764986355479, 66.35546582173428 26.207635941373002, 66.35564580595475 26.20736149419402))"
44,2939,0.29,Moderately Suitable,3.05,Very High Access,4,3,4,8.7,Clay Loam,8.133333333333333,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35803464340525 26.211078389771366, 66.35854063583524 26.21110112823192, 66.35844873624275 26.211650400626844, 66.35795863560865 26.211583188939766, 66.35803464340525 26.211078389771366))"
337,2962,0.3,Moderately Suitable,2.75,Moderate Access,3,3,4,188.2,Clay Loam,8.033333333333333,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36200277331497 26.201588143173023, 66.36209158593739 26.20117320682802, 66.36217195319992 26.200910369590076, 66.36217676615499 26.200914935092165, 66.36223116163123 26.200924875332834, 66.36228001767284 26.200961667989716, 66.36255580919983 26.201060787545625, 66.3621561521779 26.201832830811522, 66.36201376137895 26.201758536253777, 66.36198996904236 26.201713285235517, 66.36198125123988 26.201659370280318, 66.36200277331497 26.201588143173023))"
202,2970,0.3,Moderately Suitable,2.75,High Access,3,3,4,64.6,Clay Loam,8.033333333333333,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36885500826952 26.204889497857142, 66.36888561176536 26.205736668190127, 66.36854279822046 26.205748299225558, 66.3685615962028 26.2049110510299, 66.36885500826952 26.204889497857142))"
77,3084,0.31,Moderately Suitable,2.75,Moderate Access,3,3,4,190.8,Clay Loam,8.133333333333333,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37323414031951 26.216181224879087, 66.3733136918711 26.2161782269306, 66.37339197206187 26.216009402327465, 66.3738443990859 26.215986335794, 66.37382296736799 26.216496568560338, 66.37319763378933 26.216480668895837, 66.37323414031951 26.216181224879087))"
135,3098,0.31,Moderately Suitable,3.05,Very High Access,4,3,4,31.5,Clay Loam,8.033333333333333,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36549045015953 26.21163637254282, 66.36557463197397 26.211427369534327, 66.36566644192845 26.211317032175188, 66.36615909204049 26.211491833051706, 66.36602414673163 26.21197312583307, 66.36546829227304 26.21173894609957, 66.36549045015953 26.21163637254282))"
155,3099,0.31,Moderately Suitable,2.75,High Access,3,3,4,96.9,Clay Loam,8.166666666666668,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35739688655164 26.20743851284307, 66.35745182641989 26.207421587652252, 66.35794973624964 26.207583077657862, 66.35794910058112 26.20760993108565, 66.35797271112575 26.207664138164393, 66.35802193003354 26.207682935105392, 66.35795591131506 26.207968423435645, 66.35718539081196 26.20778847479429, 66.35739688655164 26.20743851284307))"
150,3138,0.31,Moderately Suitable,2.75,High Access,3,3,4,77.8,Clay Loam,8.166666666666668,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35591778020257 26.20806978521294, 66.3566911140487 26.20834375470899, 66.35676503305172 26.208372009105762, 66.35666405279451 26.208665758712595, 66.35577257590481 26.208340344840714, 66.35591778020257 26.20806978521294))"
64,3154,0.32,Marginally Suitable,2.45,Low Access,2,3,4,373.6,Clay Loam,8.233333333333333,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37151197912914 26.218125042733536, 66.37177442583689 26.218156726733433, 66.3718335444721 26.21818020514303, 66.37187731587728 26.218221373184438, 66.37189565991119 26.218288828018906, 66.37184253486417 26.218883606842418, 66.3714268883025 26.218817811488417, 66.37151197912914 26.218125042733536))"
